ID,Prob1
0, 0.30
1, 0.25
2, 0.54
3, 0.19
4, 0.16
5, 0.33
6, 0.38
7, 0.59
8, 0.50
9, 0.15
10, 0.28
11, 0.32
12, 0.16
13, 0.62
14, 0.44
15, 0.31
16, 0.24
17, 0.17
18, 0.20
19, 0.27
20, 0.39
21, 0.18
22, 0.41
23, 0.42
24, 0.35
25, 0.37
26, 0.30
27, 0.21
28, 0.26
29, 0.73
30, 0.23
31, 0.22
32, 0.22
33, 0.66
34, 0.55
35, 0.32
36, 0.32
37, 0.31
38, 0.30
39, 0.64
40, 0.25
41, 0.27
42, 0.26
43, 0.40
44, 0.43
45, 0.25
46, 0.40
47, 0.44
48, 0.46
49, 0.54
50, 0.67
51, 0.09
52, 0.30
53, 0.30
54, 0.63
55, 0.10
56, 0.38
57, 0.24
58, 0.47
59, 0.19
60, 0.44
61, 0.42
62, 0.34
63, 0.20
64, 0.25
65, 0.25
66, 0.40
67, 0.21
68, 0.21
69, 0.35
70, 0.68
71, 0.74
72, 0.20
73, 0.28
74, 0.28
75, 0.24
76, 0.18
77, 0.33
78, 0.22
79, 0.25
80, 0.26
81, 0.17
82, 0.27
83, 0.24
84, 0.36
85, 0.38
86, 0.78
87, 0.29
88, 0.17
89, 0.67
90, 0.19
91, 0.39
92, 0.30
93, 0.35
94, 0.15
95, 0.36
96, 0.17
97, 0.29
98, 0.19
99, 0.79
100, 0.65
101, 0.46
102, 0.39
103, 0.22
104, 0.19
105, 0.28
106, 0.11
107, 0.36
108, 0.15
109, 0.29
110, 0.53
111, 0.19
112, 0.18
113, 0.20
114, 0.40
115, 0.09
116, 0.24
117, 0.50
118, 0.36
119, 0.36
120, 0.36
121, 0.40
122, 0.61
123, 0.49
124, 0.20
125, 0.35
126, 0.34
127, 0.46
128, 0.24
129, 0.19
130, 0.51
131, 0.43
132, 0.31
133, 0.30
134, 0.18
135, 0.28
136, 0.27
137, 0.12
138, 0.27
139, 0.31
140, 0.15
141, 0.31
142, 0.49
143, 0.21
144, 0.22
145, 0.26
146, 0.32
147, 0.19
148, 0.25
149, 0.18
150, 0.45
151, 0.25
152, 0.20
153, 0.10
154, 0.53
155, 0.36
156, 0.40
157, 0.46
158, 0.12
159, 0.47
160, 0.23
161, 0.53
162, 0.45
163, 0.23
164, 0.23
165, 0.43
166, 0.20
167, 0.28
168, 0.34
169, 0.13
170, 0.15
171, 0.38
172, 0.19
173, 0.55
174, 0.18
175, 0.21
176, 0.26
177, 0.15
178, 0.26
179, 0.19
180, 0.41
181, 0.68
182, 0.30
183, 0.21
184, 0.71
185, 0.34
186, 0.75
187, 0.77
188, 0.40
189, 0.25
190, 0.76
191, 0.30
192, 0.35
193, 0.28
194, 0.26
195, 0.32
196, 0.31
197, 0.20
198, 0.32
199, 0.18
200, 0.18
201, 0.19
202, 0.63
203, 0.30
204, 0.44
205, 0.19
206, 0.28
207, 0.26
208, 0.27
209, 0.77
210, 0.50
211, 0.44
212, 0.26
213, 0.41
214, 0.21
215, 0.16
216, 0.27
217, 0.18
218, 0.18
219, 0.55
220, 0.37
221, 0.42
222, 0.46
223, 0.49
224, 0.31
225, 0.22
226, 0.43
227, 0.47
228, 0.48
229, 0.27
230, 0.38
231, 0.74
232, 0.36
233, 0.33
234, 0.26
235, 0.37
236, 0.35
237, 0.27
238, 0.58
239, 0.30
240, 0.44
241, 0.17
242, 0.13
243, 0.39
244, 0.38
245, 0.58
246, 0.11
247, 0.63
248, 0.37
249, 0.11
250, 0.66
251, 0.26
252, 0.20
253, 0.31
254, 0.20
255, 0.29
256, 0.40
257, 0.20
258, 0.59
259, 0.24
260, 0.29
261, 0.48
262, 0.28
263, 0.10
264, 0.36
265, 0.36
266, 0.29
267, 0.16
268, 0.27
269, 0.56
270, 0.23
271, 0.17
272, 0.12
273, 0.24
274, 0.50
275, 0.42
276, 0.78
277, 0.52
278, 0.35
279, 0.25
280, 0.74
281, 0.36
282, 0.19
283, 0.21
284, 0.29
285, 0.63
286, 0.45
287, 0.41
288, 0.33
289, 0.21
290, 0.24
291, 0.37
292, 0.27
293, 0.37
294, 0.31
295, 0.18
296, 0.28
297, 0.20
298, 0.22
299, 0.50
300, 0.43
301, 0.61
302, 0.63
303, 0.34
304, 0.29
305, 0.64
306, 0.40
307, 0.14
308, 0.22
309, 0.42
310, 0.51
311, 0.15
312, 0.29
313, 0.19
314, 0.71
315, 0.31
316, 0.18
317, 0.37
318, 0.22
319, 0.50
320, 0.28
321, 0.40
322, 0.30
323, 0.39
324, 0.15
325, 0.27
326, 0.19
327, 0.48
328, 0.26
329, 0.26
330, 0.22
331, 0.52
332, 0.37
333, 0.21
334, 0.34
335, 0.16
336, 0.29
337, 0.90
338, 0.35
339, 0.30
340, 0.38
341, 0.21
342, 0.30
343, 0.11
344, 0.40
345, 0.51
346, 0.59
347, 0.07
348, 0.12
349, 0.24
350, 0.18
351, 0.35
352, 0.19
353, 0.52
354, 0.44
355, 0.22
356, 0.25
357, 0.39
358, 0.13
359, 0.19
360, 0.21
361, 0.21
362, 0.18
363, 0.49
364, 0.19
365, 0.88
366, 0.24
367, 0.31
368, 0.24
369, 0.44
370, 0.25
371, 0.21
372, 0.15
373, 0.19
374, 0.39
375, 0.24
376, 0.63
377, 0.24
378, 0.46
379, 0.27
380, 0.57
381, 0.29
382, 0.37
383, 0.71
384, 0.23
385, 0.62
386, 0.37
387, 0.52
388, 0.26
389, 0.29
390, 0.18
391, 0.19
392, 0.48
393, 0.30
394, 0.35
395, 0.20
396, 0.19
397, 0.51
398, 0.23
399, 0.60
400, 0.31
401, 0.24
402, 0.17
403, 0.22
404, 0.16
405, 0.33
406, 0.48
407, 0.42
408, 0.41
409, 0.28
410, 0.31
411, 0.31
412, 0.23
413, 0.51
414, 0.19
415, 0.32
416, 0.34
417, 0.23
418, 0.26
419, 0.32
420, 0.21
421, 0.15
422, 0.41
423, 0.24
424, 0.31
425, 0.38
426, 0.23
427, 0.21
428, 0.15
429, 0.29
430, 0.41
431, 0.53
432, 0.23
433, 0.16
434, 0.59
435, 0.18
436, 0.25
437, 0.48
438, 0.32
439, 0.26
440, 0.21
441, 0.29
442, 0.57
443, 0.24
444, 0.15
445, 0.23
446, 0.60
447, 0.55
448, 0.62
449, 0.65
450, 0.21
451, 0.44
452, 0.26
453, 0.38
454, 0.44
455, 0.26
456, 0.61
457, 0.56
458, 0.26
459, 0.26
460, 0.62
461, 0.19
462, 0.26
463, 0.37
464, 0.44
465, 0.11
466, 0.29
467, 0.42
468, 0.24
469, 0.16
470, 0.38
471, 0.39
472, 0.26
473, 0.32
474, 0.49
475, 0.31
476, 0.15
477, 0.36
478, 0.19
479, 0.29
480, 0.12
481, 0.46
482, 0.47
483, 0.20
484, 0.19
485, 0.90
486, 0.82
487, 0.75
488, 0.26
489, 0.31
490, 0.22
491, 0.43
492, 0.16
493, 0.14
494, 0.64
495, 0.58
496, 0.56
497, 0.76
498, 0.26
499, 0.62
500, 0.61
501, 0.55
502, 0.29
503, 0.30
504, 0.80
505, 0.25
506, 0.50
507, 0.12
508, 0.22
509, 0.31
510, 0.34
511, 0.20
512, 0.31
513, 0.07
514, 0.51
515, 0.81
516, 0.24
517, 0.37
518, 0.54
519, 0.69
520, 0.48
521, 0.31
522, 0.14
523, 0.48
524, 0.36
525, 0.42
526, 0.37
527, 0.47
528, 0.52
529, 0.24
530, 0.43
531, 0.49
