ID,Prediction
0, 0.62
1, 0.34
2, 0.45
3, 0.29
4, -0.02
5, 0.42
6, 0.45
7, 1.02
8, 0.83
9, 0.09
10, 0.52
11, 0.11
12, 0.37
13, 0.62
14, 0.37
15, 0.07
16, 0.39
17, -0.03
18, 0.17
19, -0.29
20, 0.20
21, 0.38
22, 0.26
23, 0.16
24, 0.16
25, 0.38
26, 0.36
27, 0.28
28, 0.40
29, 0.86
30, 0.02
31, 0.02
32, 0.36
33, 0.06
34, 0.52
35, 0.46
36, 0.09
37, 1.11
38, 0.34
39, 0.90
40, 0.37
41, -0.33
42, 0.49
43, 0.41
44, 0.46
45, 0.09
46, 0.56
47, 0.56
48, 0.42
49, -0.03
50, 0.74
51, 0.31
52, 0.58
53, -0.05
54, 0.60
55, -0.01
56, 0.85
57, 0.28
58, -0.09
59, 0.23
60, 0.30
61, 0.21
62, -0.23
63, 0.26
64, 0.13
65, 0.24
66, 0.77
67, -0.20
68, 0.61
69, -0.00
70, 1.14
71, 0.84
72, 0.70
73, 0.36
74, 0.07
75, 0.38
76, 0.15
77, 0.94
78, 0.40
79, 0.14
80, 0.31
81, 0.42
82, 0.29
83, 0.06
84, 0.32
85, 0.46
86, 0.67
87, 0.03
88, 0.16
89, 0.69
90, 0.13
91, 0.07
92, 0.14
93, 0.50
94, 0.11
95, 0.17
96, 0.34
97, -0.06
98, 0.53
99, 0.56
100, 0.02
101, 0.52
102, 0.29
103, 0.28
104, 1.09
105, 0.20
106, 0.06
107, 0.23
108, 0.23
109, 0.47
110, 0.33
111, 0.48
112, 0.13
113, 0.22
114, 0.38
115, 0.36
116, 0.12
117, 0.31
118, 0.25
119, 0.19
120, 0.00
121, 0.09
122, 0.67
123, 0.78
124, 0.28
125, 0.65
126, 0.68
127, 0.39
128, 0.35
129, -0.08
130, 0.29
131, 0.75
132, 0.22
133, 0.19
134, 0.22
135, 0.31
136, 0.21
137, 0.00
138, 0.28
139, -0.15
140, 0.23
141, 0.37
142, 0.52
143, 0.20
144, 0.53
145, 0.03
146, 0.50
147, 0.21
148, 0.36
149, 0.74
150, 0.79
151, 0.25
152, 0.82
153, 0.86
154, 1.00
155, 0.17
156, 0.38
157, 0.09
158, 0.17
159, 0.37
160, 0.58
161, -0.04
162, -0.21
163, 0.08
164, 0.14
165, 0.27
166, 0.10
167, 0.51
168, 0.00
169, 0.14
170, 0.01
171, 0.33
172, -0.14
173, 0.34
174, 0.42
175, 0.28
176, 0.42
177, 0.20
178, 0.69
179, 0.25
180, 0.44
181, 0.92
182, 0.20
183, 0.82
184, 0.84
185, 0.73
186, 0.39
187, 0.78
188, 0.17
189, 0.46
190, 1.27
191, 0.34
192, 0.81
193, -0.19
194, 0.16
195, 0.49
196, -0.02
197, 0.18
198, 0.27
199, 0.10
200, 0.23
201, 0.15
202, 0.70
203, 0.20
204, 0.61
205, 0.15
206, 0.12
207, 0.38
208, 0.11
209, 0.72
210, 0.26
211, 0.06
212, 0.63
213, 0.52
214, 0.44
215, 0.21
216, 0.69
217, 0.17
218, 0.19
219, 0.59
220, 0.25
221, 0.00
222, 0.00
223, 0.54
224, 0.58
225, 0.23
226, 0.53
227, 0.34
228, 0.31
229, 0.18
230, 0.23
231, 0.92
232, 0.39
233, 0.18
234, 0.16
235, 0.94
236, 0.18
237, 0.38
238, 0.63
239, 0.34
240, 0.38
241, 0.15
242, -0.10
243, 0.10
244, -0.17
245, 0.12
246, 0.33
247, 0.77
248, 0.16
249, 0.08
250, 0.81
251, 0.34
252, -0.14
253, 0.14
254, 0.17
255, -0.01
256, 0.44
257, 0.12
258, 0.96
259, 0.15
260, 0.90
261, 0.10
262, 0.26
263, -0.04
264, -0.00
265, 0.22
266, 0.25
267, 0.43
268, 0.20
269, 0.15
270, -0.10
271, 0.06
272, 0.44
273, 0.22
274, 0.72
275, 0.37
276, 0.71
277, 0.90
278, 0.57
279, 0.08
280, 0.62
281, 0.14
282, 0.11
283, 0.41
284, 0.08
285, 0.76
286, 0.49
287, 0.27
288, 0.38
289, 0.46
290, 0.19
291, 0.18
292, 0.24
293, 0.83
294, -0.02
295, -0.03
296, 0.20
297, -0.12
298, 0.17
299, 0.72
300, 0.21
301, 0.03
302, 0.36
303, 0.28
304, -0.21
305, 0.25
306, 0.29
307, 0.19
308, 0.20
309, 0.55
310, 0.23
311, 0.31
312, 0.32
313, 0.24
314, 0.44
315, 0.14
316, -0.01
317, 0.61
318, 0.38
319, 0.31
320, 0.18
321, 0.14
322, 0.16
323, 0.42
324, 0.29
325, 0.54
326, 0.51
327, 0.41
328, 0.24
329, 0.22
330, 0.11
331, 0.52
332, 0.23
333, 0.33
334, 0.33
335, 0.15
336, 0.55
337, 0.81
338, 0.45
339, 0.09
340, 0.41
341, 0.03
342, -0.03
343, 0.00
344, 0.45
345, 0.59
346, 0.68
347, -0.13
348, 0.30
349, 0.32
350, 0.04
351, 0.36
352, 0.25
353, 0.44
354, 0.37
355, -0.07
356, -0.09
357, 0.46
358, 0.26
359, 0.16
360, 0.15
361, 0.21
362, 0.28
363, 0.54
364, 0.20
365, 0.75
366, 0.33
367, 0.12
368, 0.14
369, 0.32
370, -0.02
371, 0.04
372, 0.15
373, -0.05
374, 0.49
375, 0.14
376, 0.67
377, 0.07
378, 0.75
379, 0.32
380, 0.40
381, 0.18
382, 0.09
383, 0.70
384, 0.36
385, 0.57
386, 0.32
387, 0.55
388, 0.07
389, 0.37
390, -0.03
391, 0.39
392, 0.88
393, 0.17
394, 0.34
395, 0.62
396, 0.63
397, 0.60
398, 0.57
399, 0.99
400, 0.32
401, 0.70
402, -0.05
403, 0.19
404, 0.36
405, 0.10
406, 0.42
407, 0.22
408, 0.17
409, 0.40
410, 0.05
411, 0.67
412, 0.49
413, 0.50
414, 0.12
415, 0.26
416, 0.45
417, 0.26
418, -0.01
419, 0.53
420, 0.38
421, 0.36
422, 0.53
423, 0.13
424, 0.28
425, 0.29
426, 0.16
427, -0.71
428, 0.04
429, 0.12
430, 0.23
431, 1.01
432, 0.01
433, 0.41
434, 0.63
435, 0.37
436, 0.50
437, 0.63
438, 0.19
439, 0.16
440, 0.50
441, 0.32
442, 0.49
443, 0.33
444, 0.01
445, -0.04
446, 0.27
447, 0.12
448, 1.15
449, 0.17
450, -0.52
451, 0.77
452, 0.57
453, 0.42
454, 0.27
455, -0.02
456, 0.95
457, 0.34
458, 0.31
459, 0.28
460, 0.77
461, 0.04
462, 0.04
463, 0.41
464, 0.24
465, -0.00
466, 0.28
467, 0.50
468, 0.39
469, 0.11
470, 0.43
471, 0.46
472, 0.36
473, 0.07
474, 0.36
475, 0.32
476, 0.31
477, 0.37
478, -0.02
479, 0.02
480, 0.08
481, 0.44
482, 0.36
483, 0.55
484, 0.20
485, 0.82
486, 0.30
487, 0.63
488, 0.59
489, 0.75
490, 0.00
491, -0.38
492, 0.17
493, 0.12
494, 0.54
495, 0.42
