ID,Prediction
0, 0.31
1, 0.32
2, 0.57
3, 0.25
4, 0.05
5, 0.19
6, 0.38
7, 0.69
8, 0.64
9, 0.07
10, 0.54
11, 0.27
12, 0.28
13, 0.74
14, 0.43
15, 0.14
16, 0.38
17, 0.09
18, 0.23
19, 0.36
20, 0.30
21, 0.30
22, 0.30
23, 0.41
24, 0.18
25, 0.45
26, 0.36
27, -0.01
28, 0.20
29, 0.86
30, 0.19
31, 0.17
32, 0.20
33, 0.28
34, 0.38
35, 0.43
36, 0.12
37, 0.55
38, 0.46
39, 0.54
40, 0.26
41, 0.06
42, 0.42
43, 0.56
44, 0.46
45, 0.25
46, 0.28
47, 0.57
48, 0.48
49, 0.27
50, 0.72
51, 0.19
52, 0.47
53, 0.31
54, 0.48
55, 0.12
56, 0.68
57, 0.23
58, 0.22
59, 0.22
60, 0.38
61, 0.48
62, -0.00
63, 0.21
64, 0.19
65, 0.31
66, 0.87
67, 0.23
68, 0.35
69, 0.12
70, 0.84
71, 0.95
72, 0.69
73, 0.29
74, 0.10
75, 0.39
76, 0.17
77, 0.40
78, 0.18
79, 0.40
80, 0.31
81, 0.23
82, 0.23
83, 0.22
84, 0.38
85, 0.27
86, 0.70
87, 0.17
88, 0.18
89, 0.63
90, 0.16
91, 0.27
92, 0.17
93, 0.60
94, 0.16
95, 0.15
96, 0.32
97, 0.02
98, 0.15
99, 0.76
100, 0.08
101, 0.50
102, 0.56
103, 0.12
104, 0.16
105, 0.17
106, 0.10
107, 0.14
108, 0.21
109, 0.35
110, 0.24
111, 0.24
112, 0.13
113, 0.32
114, 0.31
115, 0.06
116, 0.18
117, 0.26
118, 0.28
119, 0.34
120, 0.19
121, 0.30
122, 0.77
123, 0.58
124, 0.25
125, 0.55
126, 0.25
127, 0.39
128, 0.29
129, 0.14
130, 0.26
131, 0.60
132, 0.15
133, 0.15
134, 0.14
135, 0.27
136, 0.23
137, 0.07
138, 0.25
139, -0.02
140, 0.11
141, 0.39
142, 0.74
143, 0.17
144, 0.34
145, 0.26
146, 0.44
147, 0.20
148, 0.28
149, 0.43
150, 0.60
151, 0.20
152, 0.45
153, 0.20
154, 0.92
155, 0.22
156, 0.41
157, 0.16
158, 0.13
159, 0.48
160, 0.30
161, 0.16
162, 0.22
163, 0.16
164, 0.25
165, 0.26
166, 0.10
167, 0.45
168, 0.07
169, 0.11
170, 0.27
171, 0.54
172, 0.08
173, 0.35
174, 0.34
175, 0.30
176, 0.31
177, 0.24
178, 0.62
179, 0.19
180, 0.58
181, 0.69
182, 0.36
183, 0.29
184, 0.67
185, 0.35
186, 0.64
187, 0.68
188, 0.36
189, 0.35
190, 0.96
191, 0.36
192, 0.62
193, 0.05
194, 0.29
195, 0.42
196, 0.13
197, 0.19
198, 0.29
199, 0.11
200, 0.19
201, 0.15
202, 0.66
203, 0.21
204, 0.32
205, 0.20
206, 0.18
207, 0.41
208, 0.27
209, 0.63
210, 0.30
211, 0.13
212, 0.35
213, 0.52
214, 0.33
215, 0.15
216, 0.46
217, 0.30
218, 0.02
219, 0.44
220, 0.12
221, 0.44
222, 0.12
223, 0.60
224, 0.49
225, 0.25
226, 0.46
227, 0.53
228, 0.30
229, 0.20
230, 0.34
231, 0.78
232, 0.43
233, 0.10
234, 0.29
235, 0.41
236, 0.19
237, 0.37
238, 0.68
239, 0.55
240, 0.54
241, 0.20
242, 0.40
243, 0.35
244, 0.20
245, 0.11
246, 0.22
247, 0.67
248, 0.49
249, 0.15
250, 0.77
251, 0.25
252, 0.00
253, 0.16
254, 0.19
255, 0.12
256, 0.43
257, 0.20
258, 0.89
259, 0.09
260, 0.65
261, 0.21
262, 0.26
263, 0.06
264, 0.24
265, 0.27
266, 0.23
267, 0.41
268, 0.17
269, 0.35
270, -0.01
271, 0.13
272, 0.52
273, 0.20
274, 0.60
275, 0.21
276, 0.73
277, 0.83
278, 0.40
279, 0.06
280, 0.53
281, 0.18
282, 0.15
283, 0.33
284, 0.35
285, 0.56
286, 0.32
287, 0.28
288, 0.31
289, 0.28
290, 0.38
291, 0.31
292, 0.29
293, 0.20
294, 0.05
295, 0.11
296, 0.30
297, -0.01
298, 0.27
299, 0.66
300, 0.26
301, 0.41
302, 0.47
303, 0.40
304, 0.23
305, 0.40
306, 0.32
307, 0.36
308, 0.19
309, 0.59
310, 0.23
311, 0.34
312, 0.34
313, 0.20
314, 0.65
315, 0.23
316, 0.06
317, 0.35
318, 0.21
319, 0.42
320, 0.24
321, 0.46
322, 0.21
323, 0.46
324, 0.27
325, 0.33
326, 0.38
327, 0.44
328, 0.31
329, 0.12
330, 0.32
331, 0.52
332, 0.27
333, 0.23
334, 0.37
335, 0.24
336, 0.28
337, 0.95
338, 0.35
339, 0.19
340, 0.46
341, 0.09
342, 0.11
343, 0.06
344, 0.24
345, 0.64
346, 0.63
347, -0.06
348, 0.20
349, 0.34
350, -0.04
351, 0.31
352, 0.20
353, 0.41
354, 0.20
355, 0.24
356, 0.02
357, 0.42
358, 0.18
359, 0.13
360, 0.28
361, 0.12
362, 0.23
363, 0.50
364, 0.21
365, 0.77
366, 0.32
367, 0.39
368, 0.19
369, 0.37
370, 0.13
371, 0.22
372, 0.10
373, 0.26
374, 0.66
375, 0.09
376, 0.48
377, 0.15
378, 0.66
379, 0.29
380, 0.47
381, 0.16
382, 0.14
383, 0.74
384, 0.30
385, 0.43
386, 0.21
387, 0.42
388, 0.22
389, 0.37
390, 0.12
391, 0.21
392, 0.55
393, 0.23
394, 0.34
395, 0.22
396, 0.59
