ID,Prediction
0, 0.37
1, 0.26
2, 0.52
3, 0.21
4, 0.06
5, 0.24
6, 0.41
7, 0.93
8, 0.87
9, 0.11
10, 0.47
11, 0.23
12, 0.33
13, 0.67
14, 0.39
15, 0.09
16, 0.40
17, 0.10
18, 0.15
19, 0.34
20, 0.28
21, 0.30
22, 0.41
23, 0.33
24, 0.19
25, 0.43
26, 0.33
27, 0.07
28, 0.17
29, 0.77
30, 0.16
31, 0.16
32, 0.22
33, 0.22
34, 0.40
35, 0.46
36, 0.03
37, 0.69
38, 0.44
39, 0.53
40, 0.24
41, -0.01
42, 0.40
43, 0.52
44, 0.35
45, 0.35
46, 0.28
47, 0.53
48, 0.48
49, 0.15
50, 0.83
51, 0.18
52, 0.52
53, 0.31
54, 0.55
55, 0.07
56, 0.67
57, 0.23
58, 0.20
59, 0.21
60, 0.35
61, 0.53
62, -0.02
63, 0.28
64, 0.17
65, 0.28
66, 0.86
67, 0.15
68, 0.39
69, 0.17
70, 0.96
71, 0.93
72, 0.52
73, 0.33
74, 0.07
75, 0.58
76, 0.13
77, 0.74
78, 0.18
79, 0.32
80, 0.32
81, 0.21
82, 0.23
83, 0.20
84, 0.35
85, 0.16
86, 0.68
87, 0.17
88, 0.20
89, 0.64
90, 0.29
91, 0.24
92, 0.28
93, 0.58
94, 0.26
95, 0.17
96, 0.36
97, -0.00
98, 0.16
99, 0.68
100, 0.10
101, 0.50
102, 0.58
103, 0.19
104, 0.25
105, 0.20
106, 0.13
107, 0.21
108, 0.24
109, 0.37
110, 0.29
111, 0.41
112, 0.10
113, 0.38
114, 0.32
115, 0.11
116, 0.16
117, 0.26
118, 0.29
119, 0.35
120, 0.26
121, 0.16
122, 0.74
123, 0.55
124, 0.22
125, 0.50
126, 0.39
127, 0.42
128, 0.34
129, 0.07
130, 0.33
131, 0.63
132, 0.24
133, 0.22
134, 0.09
135, 0.23
136, 0.23
137, 0.03
138, 0.29
139, -0.03
140, 0.12
141, 0.26
142, 0.71
143, 0.13
144, 0.61
145, 0.21
146, 0.40
147, 0.09
148, 0.34
149, 0.49
150, 0.55
151, 0.23
152, 0.52
153, 0.24
154, 0.84
155, 0.26
156, 0.44
157, 0.14
158, 0.16
159, 0.36
160, 0.37
161, 0.04
162, 0.16
163, 0.12
164, 0.18
165, 0.30
166, 0.07
167, 0.43
168, 0.12
169, 0.07
170, 0.21
171, 0.70
172, 0.01
173, 0.11
174, 0.22
175, 0.41
176, 0.33
177, 0.28
178, 0.61
179, 0.20
180, 0.44
181, 0.74
182, 0.35
183, 0.32
184, 0.67
185, 0.46
186, 0.59
187, 0.67
188, 0.34
189, 0.41
190, 1.10
191, 0.25
192, 0.68
193, 0.02
194, 0.28
195, 0.54
196, 0.08
197, 0.22
198, 0.28
199, 0.10
200, 0.21
201, 0.17
202, 0.60
203, 0.23
204, 0.56
205, 0.14
206, 0.17
207, 0.39
208, 0.14
209, 0.59
210, 0.36
211, 0.03
212, 0.32
213, 0.47
214, 0.43
215, 0.23
216, 0.54
217, 0.23
218, 0.10
219, 0.45
220, 0.15
221, 0.37
222, 0.05
223, 0.59
224, 0.49
225, 0.17
226, 0.55
227, 0.50
228, 0.31
229, 0.17
230, 0.26
231, 0.76
232, 0.39
233, 0.16
234, 0.30
235, 0.44
236, 0.23
237, 0.32
238, 0.71
239, 0.58
240, 0.41
241, 0.19
242, 0.17
243, 0.26
244, 0.17
245, 0.06
246, 0.18
247, 0.71
248, 0.45
249, 0.17
250, 0.85
251, 0.30
252, 0.13
253, 0.16
254, 0.20
255, 0.03
256, 0.44
257, 0.23
258, 0.98
259, 0.23
260, 0.89
261, 0.16
262, 0.33
263, 0.03
264, 0.20
265, 0.35
266, 0.19
267, 0.42
268, 0.21
269, 0.21
270, -0.16
271, 0.09
272, 0.27
273, 0.14
274, 0.61
275, 0.21
276, 0.73
277, 0.81
278, 0.39
279, 0.07
280, 0.55
281, 0.15
282, 0.15
283, 0.32
284, 0.16
285, 0.66
286, 0.37
287, 0.30
288, 0.32
289, 0.30
290, 0.18
291, 0.25
292, 0.28
293, 0.32
294, -0.05
295, 0.09
296, 0.31
297, -0.01
298, 0.28
299, 0.63
300, 0.22
301, 0.39
302, 0.25
303, 0.31
304, 0.29
305, 0.41
306, 0.34
307, 0.27
308, 0.18
309, 0.69
310, 0.23
311, 0.28
312, 0.34
313, 0.21
314, 0.70
315, 0.45
316, 0.05
317, 0.44
318, 0.19
319, 0.38
320, 0.24
321, 0.47
322, 0.22
323, 0.53
324, 0.15
325, 0.40
326, 0.36
327, 0.45
328, 0.35
329, 0.22
330, 0.07
331, 0.53
332, 0.27
333, 0.23
334, 0.36
335, 0.24
336, 0.54
337, 0.88
338, 0.34
339, 0.15
340, 0.46
341, 0.14
342, 0.06
343, 0.01
344, 0.29
345, 0.59
346, 0.63
347, -0.01
348, 0.18
349, 0.43
350, 0.10
351, 0.38
352, 0.24
353, 0.34
354, 0.43
355, 0.23
356, 0.04
357, 0.45
358, 0.12
359, 0.16
360, 0.34
361, 0.11
362, 0.24
363, 0.51
364, 0.28
365, 0.85
366, 0.33
367, 0.49
368, 0.27
369, 0.39
370, 0.09
371, 0.20
372, 0.14
373, 0.44
374, 0.63
375, 0.13
376, 0.51
377, 0.06
378, 0.59
379, 0.24
380, 0.52
381, 0.24
382, 0.23
383, 0.76
384, 0.30
385, 0.56
386, 0.28
387, 0.45
388, 0.20
389, 0.37
390, 0.13
391, 0.24
392, 0.54
393, 0.29
394, 0.32
395, 0.33
396, 0.54
397, 0.39
398, 0.27
399, 0.77
400, 0.42
401, 0.39
402, -0.01
403, 0.17
404, 0.29
405, 0.09
406, 0.56
407, 0.23
408, 0.19
409, 0.34
410, 0.04
411, 0.43
412, 0.23
413, 0.37
414, 0.25
415, 0.24
416, 0.35
417, 0.18
418, 0.18
419, 0.55
420, 0.38
421, 0.26
422, 0.67
423, 0.32
424, 0.28
425, 0.34
426, 0.15
427, 0.28
428, 0.15
429, -0.05
430, 0.29
431, 0.94
432, 0.05
433, 0.25
434, 0.55
435, 0.26
436, 0.45
