ID,Prediction
0, 0.38
1, 0.22
2, 0.40
3, 0.18
4, 0.19
5, 0.20
6, 0.34
7, 0.88
8, 0.83
9, 0.14
10, 0.42
11, 0.31
12, 0.47
13, 0.68
14, 0.34
15, 0.05
16, 0.36
17, 0.01
18, 0.16
19, 0.34
20, 0.42
21, 0.29
22, 0.31
23, 0.37
24, 0.22
25, 0.40
26, 0.41
27, 0.09
28, 0.23
29, 0.80
30, 0.07
31, 0.18
32, 0.35
33, 0.19
34, 0.48
35, 0.48
36, 0.18
37, 0.44
38, 0.44
39, 0.49
40, 0.40
41, 0.05
42, 0.18
43, 0.56
44, 0.52
45, 0.17
46, 0.23
47, 0.62
48, 0.37
49, 0.28
50, 0.37
51, 0.22
52, 0.44
53, 0.21
54, 0.65
55, 0.10
56, 0.77
57, 0.19
58, 0.35
59, 0.18
60, 0.46
61, 0.40
62, 0.15
63, 0.26
64, 0.12
65, 0.22
66, 0.92
67, 0.11
68, 0.20
69, 0.16
70, 0.88
71, 0.89
72, 0.30
73, 0.41
74, 0.10
75, 0.25
76, 0.16
77, 0.70
78, 0.09
79, 0.22
80, 0.34
81, 0.19
82, 0.24
83, 0.23
84, 0.32
85, 0.22
86, 0.66
87, 0.22
88, 0.19
89, 0.61
90, 0.18
91, 0.21
92, 0.17
93, 0.38
94, 0.19
95, 0.22
96, 0.59
97, 0.11
98, 0.12
99, 0.59
100, 0.03
101, 0.51
102, 0.45
103, 0.22
104, 0.21
105, 0.23
106, 0.29
107, 0.24
108, 0.26
109, 0.34
110, 0.47
111, 0.28
112, 0.13
113, 0.46
114, 0.12
115, 0.07
116, 0.14
117, 0.04
118, 0.31
119, 0.31
120, 0.14
121, 0.39
122, 0.73
123, 0.65
124, 0.15
125, 0.36
126, 0.44
127, 0.26
128, 0.20
129, 0.18
130, 0.54
131, 0.42
132, 0.19
133, 0.38
134, 0.13
135, 0.43
136, 0.13
137, 0.03
138, 0.43
139, 0.13
140, 0.10
141, 0.28
142, 0.64
143, 0.07
144, 0.29
145, 0.17
146, 0.39
147, 0.27
148, 0.27
149, 0.58
150, 0.56
151, 0.19
152, 0.80
153, 0.26
154, 0.93
155, 0.22
156, 0.51
157, 0.20
158, 0.17
159, 0.23
160, 0.25
161, 0.08
162, 0.22
163, 0.15
164, 0.16
165, 0.35
166, 0.10
167, 0.28
168, 0.01
169, 0.10
170, 0.09
171, 0.52
172, 0.15
173, 0.33
174, 0.37
175, 0.22
176, 0.11
177, 0.23
178, 0.59
179, 0.13
180, 0.51
181, 0.85
182, 0.22
183, 0.17
184, 0.71
185, 0.22
186, 0.66
187, 0.90
188, 0.23
189, 0.30
190, 0.98
191, 0.17
192, 0.19
193, 0.15
194, 0.13
195, 0.46
196, 0.01
197, 0.29
198, 0.27
199, 0.14
200, 0.16
201, 0.23
202, 0.88
203, 0.13
204, 0.35
205, 0.17
206, 0.11
207, 0.44
208, 0.16
209, 0.66
210, 0.27
211, 0.24
212, 0.70
213, 0.61
214, 0.25
215, 0.16
216, 0.52
217, 0.12
218, 0.28
219, 0.44
220, 0.14
221, 0.19
222, 0.10
223, 0.44
224, 0.42
225, 0.17
226, 0.47
227, 0.40
228, 0.52
229, 0.10
230, 0.23
231, 0.86
232, 0.37
233, 0.12
234, 0.12
235, 0.61
236, 0.14
237, 0.37
238, 0.53
239, 0.59
240, 0.41
241, 0.11
242, 0.22
243, 0.08
244, 0.17
245, 0.18
246, 0.26
247, 0.74
248, 0.73
249, 0.27
250, 0.85
251, 0.27
252, 0.08
253, 0.17
254, 0.26
255, 0.08
256, 0.43
257, 0.14
258, 0.97
259, 0.14
260, 0.73
261, 0.14
262, 0.23
263, 0.12
264, 0.17
265, 0.25
266, 0.16
267, 0.37
268, 0.19
269, 0.35
270, 0.11
271, 0.10
272, 0.45
273, 0.13
274, 0.71
275, 0.24
276, 0.66
277, 0.87
278, 0.15
279, 0.07
280, 0.91
281, 0.22
282, 0.19
283, 0.42
284, 0.11
285, 0.63
286, 0.55
287, 0.42
288, 0.19
289, 0.34
290, 0.13
291, 0.19
292, 0.17
293, 0.32
294, 0.03
295, 0.12
296, 0.33
297, 0.09
298, 0.25
299, 0.71
300, 0.28
301, 0.09
302, 0.56
303, 0.49
304, 0.15
305, 0.65
306, 0.35
307, 0.24
308, 0.18
309, 0.83
310, 0.28
311, 0.27
312, 0.36
313, 0.17
314, 0.52
315, 0.39
316, 0.03
317, 0.53
318, 0.36
319, 0.58
320, 0.27
321, 0.29
322, 0.24
323, 0.31
324, 0.13
325, 0.28
326, 0.22
327, 0.32
328, 0.44
329, 0.17
330, 0.07
331, 0.41
332, 0.60
333, 0.30
334, 0.39
335, 0.05
336, 0.39
337, 0.93
338, 0.20
339, 0.19
340, 0.36
341, 0.16
342, 0.10
343, 0.03
344, 0.24
345, 0.66
346, 0.83
347, 0.00
348, 0.07
349, 0.67
350, 0.02
351, 0.32
352, 0.20
353, 0.42
354, 0.47
355, 0.15
356, 0.01
357, 0.64
358, 0.31
359, 0.21
360, 0.18
361, 0.07
362, 0.28
363, 0.63
364, 0.25
365, 0.95
366, 0.24
367, 0.34
368, 0.24
369, 0.43
370, 0.13
371, 0.13
372, 0.36
373, 0.21
374, 0.75
375, 0.23
376, 0.58
377, 0.09
378, 0.56
379, 0.20
380, 0.26
381, 0.45
382, 0.33
383, 0.80
384, 0.32
385, 0.35
386, 0.27
387, 0.28
388, 0.21
389, 0.26
390, 0.08
391, 0.22
392, 0.73
393, 0.40
394, 0.38
395, 0.23
396, 0.65
397, 0.10
398, 0.29
399, 0.89
400, 0.34
401, 0.43
402, 0.04
403, 0.23
404, 0.40
405, 0.11
406, 0.59
407, 0.31
408, 0.24
409, 0.46
410, 0.02
411, 0.42
412, 0.25
413, 0.24
414, 0.16
415, 0.18
416, 0.35
417, 0.28
418, 0.18
419, 0.45
420, 0.38
421, 0.31
422, 0.48
423, 0.15
424, 0.31
425, 0.50
426, 0.17
427, 0.24
428, 0.18
429, 0.03
430, 0.41
431, 0.75
432, 0.10
433, 0.26
434, 0.52
435, 0.22
436, 0.51
437, 0.61
438, 0.36
439, 0.12
440, 0.30
441, 0.19
442, 0.64
443, 0.20
444, 0.10
445, 0.09
446, 0.48
447, 0.21
448, 0.78
449, 0.17
450, 0.34
451, 0.77
452, 0.57
453, 0.52
454, 0.39
455, 0.18
456, 0.74
457, 0.45
458, 0.72
459, 0.32
460, 0.33
461, 0.05
462, 0.26
463, 0.09
464, 0.36
465, 0.06
466, 0.27
467, 0.45
468, 0.17
469, 0.34
470, 0.35
471, 0.36
472, 0.23
473, 0.39
474, 0.31
475, 0.30
476, 0.21
477, 0.13
478, 0.32
479, 0.13
480, 0.23
481, 0.30
482, 0.39
483, 0.53
484, 0.13
485, 0.83
486, 0.84
487, 0.89
488, 0.51
489, 0.59
490, 0.14
491, 0.20
492, 0.04
493, 0.19
494, 0.34
495, 0.40
496, 0.97
497, 0.62
498, 0.83
499, 0.59
500, 0.41
501, 0.21
502, 0.31
503, 0.22
504, 0.48
505, 0.08
506, 0.35
507, 0.03
508, 0.21
509, 0.33
510, 0.39
511, 0.16
512, 0.24
513, 0.15
514, 0.39
515, 0.62
516, 0.17
517, 0.49
518, 0.53
519, 0.92
520, 0.75
521, 0.22
522, 0.27
523, 0.49
524, 0.20
525, 0.66
526, 0.35
527, 0.21
528, 0.69
529, 0.26
530, 0.10
531, 0.49
532, 0.23
533, 0.21
534, 0.76
535, 0.41
536, 0.30
537, 0.10
538, 0.21
539, 0.23
540, 0.13
541, 0.01
542, 0.73
543, 0.29
544, 0.20
545, 0.54
546, 0.42
547, 0.14
548, 0.65
549, 0.15
550, 0.49
551, 0.29
552, 0.79
553, 0.16
554, 0.23
555, 0.10
556, 0.19
557, 0.13
558, 0.53
559, 0.27
560, 0.17
561, 0.25
562, 0.07
563, 0.24
564, 0.24
565, 0.45
566, 0.09
567, 0.50
568, 0.23
569, 0.17
570, 0.40
571, 0.14
572, 0.09
573, 0.55
574, 0.26
575, 0.21
576, 0.20
577, 0.34
578, 0.36
579, 0.43
580, 0.46
581, 0.17
582, 0.73
583, 0.52
584, 0.15
585, 0.18
586, 0.64
587, 0.54
588, 0.06
589, 0.85
590, 0.02
591, 0.18
592, 0.86
593, 0.42
594, 0.23
595, 0.50
596, 0.28
597, 0.26
598, 0.21
599, 0.23
600, 0.39
601, 0.30
602, 0.17
603, 0.97
604, 0.05
605, 0.12
606, 0.36
607, 0.03
608, 0.34
609, 0.29
610, 0.38
611, 0.58
612, 0.44
613, 0.53
614, 0.26
615, 0.12
616, 0.36
617, 0.36
618, 0.11
619, 0.33
620, 0.55
621, 0.64
622, 0.23
623, 0.28
624, 0.19
625, 0.33
626, 0.18
627, 0.19
628, 0.47
629, 0.72
630, 0.43
631, 0.36
632, 0.35
633, 0.09
634, 0.22
635, 0.81
636, 0.42
637, 0.18
638, 0.40
639, 0.38
640, 0.15
641, 0.51
642, 0.62
643, 0.42
644, 0.28
645, 0.13
646, 0.21
647, 0.20
648, 0.21
649, 0.23
650, 0.33
651, 0.19
652, 0.85
653, 0.18
654, 0.16
655, 0.21
656, 0.25
657, 0.67
658, 0.36
659, 0.13
660, 0.87
661, 0.35
662, 0.21
663, 0.24
664, 0.79
665, 0.05
666, 0.20
667, 0.17
668, 0.86
669, 0.21
670, 0.04
671, 0.22
672, 0.25
673, 0.06
674, 0.16
675, 0.63
676, 0.29
677, 0.54
678, 0.17
679, 0.17
680, 0.89
681, 0.33
682, 0.16
683, 0.47
684, 0.46
685, 0.20
686, 0.08
687, 0.27
688, 0.10
689, 0.36
690, 0.79
691, 0.15
692, 0.74
693, 0.63
694, 0.68
695, 0.44
696, 0.33
697, 0.07
698, -0.01
699, 0.24
700, 0.09
701, 0.30
702, 0.19
703, 0.37
704, 0.78
705, 0.28
706, 0.31
707, 0.19
708, 0.17
709, 0.13
710, 0.28
711, 0.98
712, 0.14
713, 0.14
714, 0.29
715, 0.41
716, 0.84
717, 0.26
718, 0.42
719, 0.10
720, 0.34
721, 0.87
722, 0.52
723, 0.35
724, 0.22
725, 0.67
726, 0.11
727, 0.82
728, 0.36
729, 0.29
730, 0.15
731, 0.24
732, 0.11
733, 0.06
734, 0.23
735, 0.35
736, 0.33
737, 0.13
738, 0.90
739, 0.39
740, 0.88
741, 0.72
742, 0.29
743, 0.13
744, 0.72
745, 0.75
746, 0.94
747, 0.42
748, 0.13
749, 0.25
750, 0.15
751, 0.51
752, 0.39
753, 0.02
754, 0.20
755, 0.73
756, 0.26
757, 0.23
758, 0.08
759, 0.37
760, 0.23
761, 0.26
762, 0.44
763, 0.27
764, 0.32
765, 0.26
766, 0.18
767, 0.13
768, 0.27
769, 0.76
770, 0.30
771, 0.02
772, 0.24
773, 0.12
774, 0.61
775, 0.05
776, 0.28
777, 0.04
778, 0.18
779, 0.10
780, 0.70
781, 0.12
782, 0.03
783, 0.21
784, 0.68
785, 0.29
786, 0.31
787, 0.43
788, 0.73
789, 0.20
790, 0.23
791, 0.33
792, 0.41
793, 0.64
794, 0.88
795, 0.41
796, 0.20
797, 0.97
798, 0.69
799, 0.52
800, 0.65
801, 0.23
802, 0.20
803, 0.17
804, 0.35
805, 0.82
806, 0.16
807, 0.29
808, 0.12
809, 0.63
810, 0.35
811, 0.90
812, 0.15
813, 0.20
814, 0.45
815, 0.05
816, 0.25
817, 0.50
818, 0.22
819, 0.21
820, 0.24
821, 0.44
822, 0.24
823, 0.45
824, 0.32
825, 0.33
826, 0.83
827, 0.09
828, 0.14
829, 0.72
830, 0.31
831, 0.11
832, 0.44
833, 0.53
834, 0.38
835, 0.80
836, 0.48
837, 0.21
838, 0.47
839, 0.02
840, 0.13
841, 0.36
842, 0.08
843, 0.44
844, 0.57
845, 0.44
846, 0.15
847, 0.25
848, 0.23
849, 0.79
