ID,Prediction
0, 0.09
1, 0.30
2, 0.34
3, 0.19
4, 0.09
5, 0.48
6, 0.22
7, 1.81
8, 2.14
9, 0.11
10, 0.37
11, 0.19
12, 0.22
13, 0.38
14, 0.46
15, -0.03
16, 0.22
17, 0.05
18, 0.10
19, 0.54
20, 0.38
21, 0.19
22, 0.26
23, 0.19
24, 0.21
25, 0.54
26, 0.41
27, 0.10
28, 0.20
29, 2.25
30, 0.17
31, 0.24
32, 0.19
33, 0.47
34, 0.58
35, 0.61
36, 0.48
37, 0.49
38, 0.46
39, 0.92
40, 0.21
41, 0.13
42, 0.52
43, 0.31
44, 0.37
45, 0.36
46, 0.22
47, 0.74
48, 0.24
49, 0.47
50, 0.44
51, 0.22
52, 0.50
53, 0.16
54, 0.61
55, 0.15
56, 0.72
57, 0.15
58, 0.32
59, 0.15
60, 0.36
61, 0.43
62, 0.41
63, 0.25
64, 0.11
65, 0.14
66, 0.25
67, 0.10
68, 0.15
69, 0.52
70, 0.92
71, 1.82
72, 0.17
73, 0.18
74, 0.13
75, 0.29
76, 0.18
77, 0.18
78, 0.14
79, 0.36
80, 0.30
81, 0.15
82, 0.19
83, 0.52
84, 0.85
85, 0.29
86, 1.27
87, 0.26
88, 0.14
89, 0.58
90, 0.14
91, 0.22
92, 0.34
93, 0.46
94, 0.16
95, 0.17
96, 0.20
97, 0.13
98, 0.17
99, 1.33
100, 0.66
101, 0.48
102, 0.30
103, 0.13
104, 0.20
105, 0.17
106, 0.15
107, 0.26
108, 0.18
109, 0.34
110, 0.34
111, 0.15
112, 0.31
113, 0.38
114, 0.91
115, 0.20
116, 0.13
117, 0.59
118, 0.45
119, 0.20
120, 0.24
121, 0.51
122, 0.96
123, 0.89
124, 0.20
125, 0.47
126, 0.17
127, 0.80
128, 0.26
129, 0.17
130, 0.82
131, 0.75
132, 0.33
133, 0.05
134, 0.13
135, 0.35
136, 0.14
137, 0.18
138, 0.31
139, -0.08
140, 0.16
141, 0.27
142, 1.07
143, 0.14
144, 0.17
145, 0.51
146, 1.03
147, 0.18
148, 0.22
149, 0.18
150, 0.59
151, 0.15
152, 0.40
153, 0.12
154, 0.87
155, 0.30
156, 0.48
157, 0.27
158, 0.12
159, 0.65
160, 0.37
161, 0.51
162, 0.37
163, 0.24
164, 0.19
165, 0.05
166, 0.21
167, 0.47
168, 0.33
169, 0.08
170, 0.21
171, 0.41
172, 0.11
173, 1.84
174, 0.50
175, 0.33
176, 0.30
177, 0.17
178, 0.75
179, 0.11
180, 0.40
181, 0.78
182, 0.43
183, 0.13
184, 0.93
185, 0.45
186, 0.64
187, 0.98
188, 0.37
189, 0.24
190, 2.02
191, 0.88
192, 1.84
193, 0.26
194, 0.20
195, 0.35
196, 0.36
197, 0.41
198, 0.28
199, 0.05
200, 0.14
201, 0.15
202, 0.93
203, 0.17
204, 1.75
205, 0.11
206, 0.33
207, 0.30
208, 0.38
209, 0.59
210, 0.42
211, 0.61
212, 0.18
213, 0.76
214, 0.42
215, 0.22
216, 0.26
217, 0.17
218, 0.07
219, 0.50
220, 0.31
221, 1.19
222, 0.91
223, 0.43
224, 0.44
225, 0.21
226, 0.76
227, 0.21
228, 0.41
229, 0.23
230, 0.25
231, 0.47
232, 0.21
233, 0.39
234, 0.12
235, 0.56
236, 0.27
237, 0.40
238, 0.86
239, 0.70
240, 0.50
241, 0.15
242, 0.29
243, -0.01
244, 0.29
245, 0.71
246, 0.11
247, 0.75
248, 0.87
249, 0.20
250, 0.44
251, 0.14
252, 0.07
253, 0.21
254, 0.15
255, 0.16
256, 0.13
257, 0.14
258, 1.88
259, 0.24
260, 0.27
261, 0.58
262, 0.24
263, 0.12
264, 0.22
265, 0.47
266, 0.14
267, 0.15
268, 0.15
269, 0.77
270, -0.27
271, 0.22
272, 0.14
273, 0.54
274, 0.28
275, 0.34
276, 1.27
277, 1.03
278, 0.81
279, 0.16
280, 0.52
281, 0.16
282, 0.10
283, 0.18
284, 0.36
285, 0.52
286, 0.43
287, 0.33
288, 0.21
289, 0.22
290, 0.10
291, 0.28
292, 0.25
293, 0.52
294, 0.33
295, 0.08
296, 0.32
297, 0.07
298, 0.23
299, 0.78
300, 0.39
301, 0.43
302, 0.72
303, 0.76
304, 0.43
305, 0.39
306, 0.46
307, 0.14
308, 0.45
309, 0.20
310, 0.19
311, 0.26
312, 0.47
313, 0.19
314, 1.90
315, 0.47
316, 0.13
317, 0.53
318, 0.42
319, 0.53
320, 0.31
321, 0.62
322, 0.23
323, 0.23
324, 0.17
325, 1.54
326, 0.58
327, 0.21
328, 0.16
329, 0.11
330, 0.10
331, 1.07
332, 0.39
333, 0.16
334, 0.19
335, 0.11
336, 0.21
337, 1.05
338, 0.41
339, 0.29
340, 0.74
341, 0.11
342, 0.32
343, -0.13
344, 0.16
345, 0.85
346, 0.84
347, 0.42
348, 0.20
349, 0.53
350, 0.18
351, 0.41
352, 0.14
353, 0.49
354, 0.58
355, 0.26
356, 0.14
357, 0.40
358, 0.11
359, 0.09
360, 0.25
361, 0.18
362, 0.09
363, 0.37
364, 0.16
365, 1.60
366, 0.24
367, 0.67
