ID,Prediction
0, 0.33
1, 0.25
2, 0.57
3, 0.17
4, 0.20
5, 0.46
6, 0.21
7, 0.74
8, 0.71
9, 0.18
10, 0.41
11, 0.22
12, 0.37
13, 0.68
14, 0.43
15, 0.25
16, 0.24
17, 0.12
18, 0.18
19, 0.44
20, 0.45
21, 0.40
22, 0.35
23, 0.23
24, 0.21
25, 0.30
26, 0.41
27, 0.21
28, 0.21
29, 0.80
30, 0.17
31, 0.25
32, 0.12
33, 0.36
34, 0.46
35, 0.43
36, 0.26
37, 0.39
38, 0.53
39, 0.43
40, 0.30
41, 0.13
42, 0.25
43, 0.45
44, 0.39
45, 0.31
46, 0.31
47, 0.67
48, 0.38
49, 0.28
50, 0.50
51, 0.24
52, 0.43
53, 0.23
54, 0.65
55, 0.10
56, 0.49
57, 0.24
58, 0.29
59, 0.20
60, 0.45
61, 0.35
62, 0.25
63, 0.22
64, 0.24
65, 0.25
66, 0.69
67, 0.18
68, 0.25
69, 0.27
70, 0.76
71, 0.89
72, 0.34
73, 0.39
74, 0.16
75, 0.31
76, 0.13
77, 0.46
78, 0.27
79, 0.32
80, 0.38
81, 0.17
82, 0.31
83, 0.34
84, 0.35
85, 0.22
86, 0.78
87, 0.31
88, 0.18
89, 0.61
90, 0.17
91, 0.27
92, 0.24
93, 0.59
94, 0.23
95, 0.20
96, 0.36
97, 0.07
98, 0.16
99, 0.53
100, 0.16
101, 0.40
102, 0.40
103, 0.22
104, 0.21
105, 0.21
106, 0.29
107, 0.30
108, 0.41
109, 0.34
110, 0.40
111, 0.34
112, 0.16
113, 0.30
114, 0.42
115, 0.19
116, 0.12
117, 0.42
118, 0.36
119, 0.29
120, 0.25
121, 0.45
122, 0.70
123, 0.57
124, 0.20
125, 0.46
126, 0.39
127, 0.39
128, 0.36
129, 0.11
130, 0.50
131, 0.44
132, 0.25
133, 0.23
134, 0.18
135, 0.45
136, 0.18
137, 0.05
138, 0.27
139, 0.08
140, 0.12
141, 0.28
142, 0.59
143, 0.26
144, 0.26
145, 0.31
146, 0.41
147, 0.24
