ID,Prediction
0, 0.15
1, 0.30
2, 0.33
3, 0.22
4, 0.24
5, 0.49
6, 0.27
7, 1.51
8, 2.15
9, 0.15
10, 0.40
11, 0.26
12, 0.22
13, 0.47
14, 0.41
15, 0.15
16, 0.18
17, 0.11
18, 0.14
19, 0.53
20, 0.40
21, 0.19
22, 0.25
23, 0.17
24, 0.19
25, 0.51
26, 0.37
27, 0.14
28, 0.24
29, 2.22
30, 0.23
31, 0.25
32, 0.17
33, 0.45
34, 0.52
35, 0.47
36, 0.40
37, 0.34
38, 0.54
39, 0.68
40, 0.26
41, 0.18
42, 0.56
43, 0.69
44, 0.30
45, 0.37
46, 0.19
47, 0.69
48, 0.24
49, 0.43
50, 0.45
51, 0.24
52, 0.54
53, 0.16
54, 0.73
55, 0.17
56, 0.55
57, 0.17
58, 0.33
59, 0.17
60, 0.33
61, 0.50
62, 0.38
63, 0.25
64, 0.14
65, 0.16
66, 0.24
67, 0.15
68, 0.16
69, 0.47
70, 1.12
71, 1.79
72, 0.18
73, 0.16
74, 0.14
75, 0.28
76, 0.22
77, 0.17
78, 0.15
79, 0.35
80, 0.30
81, 0.16
82, 0.20
83, 0.55
84, 0.78
85, 0.32
86, 1.19
87, 0.31
88, 0.13
89, 0.56
90, 0.14
91, 0.23
92, 0.32
93, 0.43
94, 0.21
95, 0.17
96, 0.22
97, 0.22
98, 0.19
99, 1.36
100, 0.81
101, 0.50
102, 0.32
103, 0.22
104, 0.25
105, 0.14
106, 0.19
107, 0.24
108, 0.17
109, 0.39
110, 0.32
111, 0.22
112, 0.32
113, 0.47
114, 1.00
115, 0.18
116, 0.19
117, 0.50
118, 0.37
119, 0.24
120, 0.22
121, 0.60
122, 0.99
123, 0.66
124, 0.19
125, 0.50
126, 0.19
127, 0.65
128, 0.24
129, 0.17
130, 0.81
131, 0.83
132, 0.30
133, 0.16
134, 0.19
135, 0.36
136, 0.17
137, 0.26
138, 0.35
139, -0.00
140, 0.17
141, 0.24
142, 1.20
143, 0.17
144, 0.16
145, 0.67
146, 1.12
147, 0.20
148, 0.21
149, 0.17
150, 0.62
151, 0.18
152, 0.43
153, 0.15
154, 0.89
155, 0.33
156, 0.40
157, 0.26
158, 0.15
159, 0.60
160, 0.35
161, 0.63
162, 0.40
163, 0.26
164, 0.33
165, 0.08
166, 0.22
167, 0.44
168, 0.55
169, 0.13
170, 0.23
171, 0.44
172, 0.13
173, 1.69
174, 0.51
175, 0.31
176, 0.28
177, 0.23
178, 0.73
179, 0.16
180, 0.42
181, 0.58
182, 0.33
183, 0.17
184, 0.80
185, 0.38
186, 0.55
187, 1.07
188, 0.40
189, 0.20
190, 1.94
191, 0.72
192, 1.36
193, 0.28
194, 0.17
195, 0.38
196, 0.30
197, 0.43
198, 0.27
199, 0.13
200, 0.14
201, 0.19
202, 0.73
203, 0.16
204, 0.65
205, 0.14
206, 0.31
207, 0.30
208, 0.37
209, 0.56
210, 0.43
211, 0.59
212, 0.17
213, 1.02
214, 0.45
215, 0.36
216, 0.27
217, 0.15
218, 0.12
219, 0.51
220, 0.35
221, 0.97
222, 0.77
223, 0.56
224, 0.46
225, 0.23
226, 0.75
227, 0.29
228, 0.47
229, 0.24
230, 0.23
231, 0.47
232, 0.18
233, 0.34
234, 0.15
235, 0.38
