ID,Prob1
0, 0.229421
1, 0.706058
2, 0.530836
3, 0.078751
4, 0.079963
5, 0.091300
6, 0.097383
7, 0.923514
8, 0.750990
9, 0.261675
10, 0.859176
11, 0.377837
12, 0.248362
13, 0.141764
14, 0.078138
15, 0.253692
16, 0.099258
17, 0.093361
18, 0.083752
19, 0.269791
20, 0.466409
21, 0.362816
22, 0.266461
23, 0.080095
24, 0.780069
25, 0.426450
26, 0.777886
27, 0.210284
28, 0.748960
29, 0.356196
30, 0.927603
31, 0.688692
32, 0.083235
33, 0.125785
34, 0.082960
35, 0.396377
36, 0.483200
37, 0.082760
38, 0.088712
39, 0.738291
40, 0.084880
41, 0.707079
42, 0.392613
43, 0.081616
44, 0.082578
45, 0.095645
46, 0.419538
47, 0.258839
48, 0.623406
49, 0.083487
50, 0.095731
51, 0.133991
52, 0.166955
53, 0.299889
54, 0.217098
55, 0.238026
56, 0.185489
57, 0.081868
58, 0.145430
59, 0.123043
60, 0.360325
61, 0.079959
62, 0.231321
63, 0.481664
64, 0.224623
65, 0.077750
66, 0.078488
67, 0.107208
68, 0.922152
69, 0.766911
70, 0.368929
71, 0.085555
72, 0.705473
73, 0.521393
74, 0.170076
75, 0.080581
76, 0.331722
77, 0.386996
78, 0.088846
79, 0.102326
80, 0.086816
81, 0.079934
82, 0.226674
83, 0.162299
84, 0.905927
85, 0.242878
86, 0.546689
87, 0.852742
88, 0.093074
89, 0.322295
90, 0.147593
91, 0.923489
92, 0.147254
93, 0.144282
94, 0.080275
95, 0.190795
96, 0.507867
97, 0.200738
98, 0.090659
99, 0.906346
100, 0.468098
101, 0.080479
102, 0.685349
103, 0.120420
104, 0.080697
105, 0.678611
106, 0.404753
107, 0.080725
108, 0.088338
109, 0.817200
110, 0.690926
111, 0.085601
112, 0.422460
113, 0.216637
114, 0.129635
115, 0.405921
116, 0.203555
117, 0.483576
118, 0.268293
119, 0.181271
120, 0.749137
121, 0.522579
122, 0.080319
123, 0.083992
124, 0.085985
125, 0.148176
126, 0.228976
127, 0.080376
128, 0.376849
129, 0.083320
130, 0.091665
131, 0.927718
132, 0.081321
133, 0.298207
134, 0.108855
135, 0.563544
136, 0.078700
137, 0.178301
138, 0.173406
139, 0.081659
140, 0.356510
141, 0.316981
142, 0.418389
143, 0.080668
144, 0.224108
145, 0.090647
146, 0.358906
147, 0.125926
148, 0.927566
149, 0.148503
150, 0.095966
151, 0.304318
152, 0.620816
153, 0.081006
154, 0.141848
155, 0.080421
156, 0.093192
157, 0.189279
158, 0.132850
159, 0.091880
160, 0.077979
161, 0.080620
162, 0.086498
163, 0.187987
164, 0.903773
165, 0.094040
166, 0.093658
167, 0.496848
168, 0.703487
169, 0.266298
170, 0.078767
171, 0.082974
172, 0.552747
173, 0.351213
174, 0.215532
175, 0.133981
176, 0.342815
177, 0.081325
178, 0.154237
179, 0.504484
180, 0.249800
181, 0.120390
182, 0.222955
183, 0.083979
184, 0.078410
185, 0.080303
186, 0.184860
187, 0.118462
188, 0.098098
189, 0.296925
190, 0.192704
191, 0.768925
192, 0.146917
193, 0.087551
194, 0.328086
195, 0.183617
196, 0.100023
197, 0.153438
198, 0.421226
199, 0.270940
200, 0.131418
201, 0.928750
202, 0.370414
203, 0.080268
204, 0.121779
205, 0.092662
206, 0.078311
207, 0.087099
208, 0.079909
209, 0.322186
210, 0.081946
211, 0.114676
212, 0.469146
213, 0.080609
214, 0.584070
215, 0.151226
216, 0.082771
217, 0.082204
218, 0.495151
219, 0.394546
220, 0.745025
221, 0.192495
222, 0.218336
223, 0.613223
224, 0.082597
225, 0.288023
226, 0.154660
227, 0.082165
228, 0.176486
229, 0.135197
230, 0.149796
231, 0.197454
232, 0.703203
233, 0.244030
234, 0.283126
235, 0.085173
236, 0.402061
237, 0.081591
238, 0.411082
239, 0.093275
240, 0.741856
241, 0.662253
242, 0.912087
243, 0.258689
244, 0.405586
245, 0.105516
246, 0.294340
247, 0.100589
248, 0.145076
249, 0.226330
250, 0.082468
251, 0.084699
252, 0.586392
253, 0.080251
254, 0.096139
255, 0.084018
256, 0.126428
257, 0.136862
258, 0.507971
259, 0.169353
260, 0.162889
261, 0.304737
262, 0.515728
263, 0.291942
264, 0.251736
265, 0.220164
266, 0.144031
267, 0.082353
268, 0.498532
269, 0.469620
270, 0.080643
271, 0.143404
272, 0.191120
273, 0.177359
274, 0.408688
275, 0.719135
276, 0.085024
277, 0.084345
278, 0.097989
279, 0.115591
280, 0.733577
281, 0.084510
282, 0.078426
283, 0.480555
284, 0.079229
285, 0.079685
286, 0.136779
287, 0.078091
288, 0.220873
289, 0.428490
290, 0.144854
291, 0.661214
292, 0.086009
293, 0.079834
294, 0.078967
295, 0.082345
296, 0.294780
297, 0.123384
298, 0.399221
299, 0.089168
300, 0.080399
301, 0.164393
302, 0.512680
303, 0.257408
304, 0.105984
305, 0.294993
306, 0.082509
307, 0.083685
308, 0.078426
309, 0.085393
310, 0.902346
311, 0.303114
312, 0.683504
313, 0.253372
314, 0.782600
315, 0.081036
316, 0.145222
317, 0.275045
318, 0.215138
319, 0.352257
320, 0.127361
321, 0.088978
322, 0.084985
323, 0.250430
324, 0.697505
325, 0.080443
326, 0.528438
327, 0.127399
328, 0.575045
329, 0.263630
330, 0.198293
331, 0.080023
332, 0.130941
333, 0.122788
334, 0.221162
335, 0.086309
336, 0.098821
337, 0.250847
338, 0.093467
339, 0.249943
340, 0.174816
341, 0.084869
342, 0.659675
343, 0.112456
344, 0.185648
345, 0.181564
346, 0.086663
347, 0.193736
348, 0.180740
349, 0.152855
350, 0.913818
351, 0.226467
352, 0.088186
353, 0.192567
354, 0.349924
355, 0.232680
356, 0.347857
357, 0.246859
358, 0.203795
359, 0.089814
360, 0.442782
361, 0.137607
362, 0.406660
363, 0.382188
364, 0.254408
365, 0.086071
366, 0.088601
367, 0.278982
368, 0.499625
369, 0.111918
370, 0.189869
371, 0.155066
372, 0.151210
373, 0.082702
374, 0.080241
375, 0.197406
376, 0.121790
377, 0.181483
378, 0.884618
379, 0.163892
380, 0.214235
381, 0.079963
382, 0.082699
383, 0.078772
384, 0.085358
385, 0.151337
386, 0.300176
387, 0.131466
388, 0.213696
389, 0.528041
390, 0.905983
391, 0.218775
392, 0.165195
393, 0.404757
394, 0.081838
395, 0.079503
396, 0.317353
397, 0.410312
398, 0.478283
399, 0.289915
400, 0.355293
401, 0.300792
402, 0.529462
403, 0.091471
404, 0.092707
405, 0.537552
406, 0.148285
